"Saxonszám";"Fajta";"Gyartmány";"Tipus";"Funkció";"Különleges tulajdonság";"Felszereltség";"Megjegyzés";"Üzemmód";"Teherbírás";"Emelő magasság";"Első kerék";"Hátsó kerék";"Motor";"Akkumulátor";"Villák";"Tárolás";"Tárolás";"Mező";"Mező";"Eladási ár";"Eladó neve";"Bizonylatszám";"Vételi ár";"Category"
"W-0061";"ELLENSÚLY";"TOYOTA";"FB16 (2016 -ig)";" n/a";;"NO";;"FŐDARAB";1600;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;1000;;;0;"Karosszéria elemek"
"W-0062";"ELLENSÚLY";"NISSAN";"FG15 (SPAIN) PH02-M15";" n/a";;"NO";;"FŐDARAB";1500;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;800;;;0;"Karosszéria elemek"
"W-0063";"ELLENSÚLY";"LINDE";"H16 (350)";" n/a";;"NO";;"FŐDARAB";1600;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;1200;;;0;"Karosszéria elemek"
"W-0064";"ELLENSÚLY";"  n/a";"ÜRES";" n/a";;"NO";;"FŐDARAB";0;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;0;;;0;"Karosszéria elemek"
"W-0065";"ELLENSÚLY";"KOMATSU";"FD25T-14 LEO";" n/a";;"NO";;"FŐDARAB";2500;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;800;;;0;"Karosszéria elemek"
"W-0066";"ELLENSÚLY";"KOMATSU";"FD25T-14 LEO";" n/a";;"NO";;"FŐDARAB";2500;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;800;;;0;"Karosszéria elemek"
"W-0067";"ELLENSÚLY";"NISSAN";"FD15 (SPAIN)";" n/a";;"NO";;"FŐDARAB";1500;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;1000;;;0;"Karosszéria elemek"
"W-0068";"ELLENSÚLY";"CATERPILLAR";"DP20N";" n/a";;"NO";;"FŐDARAB";2000;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;800;;;0;"Karosszéria elemek"
"W-0069";"ELLENSÚLY";"KOMATSU";"FD15T-15";" n/a";;"NO";;"FŐDARAB";1500;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;800;;;0;"Karosszéria elemek"
"W-0070";"ELLENSÚLY";"TOYOTA";"6FD15";" n/a";;"NO";;"FŐDARAB";1500;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;800;;;0;"Karosszéria elemek"
"W-0071";"ELLENSÚLY";"KOMATSU";"FD25T-1E";" n/a";;"NO";;"FŐDARAB";2500;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;800;;;0;"Karosszéria elemek"
"W-0072";"ELLENSÚLY";"KOMATSU";"FD18T-1E";" n/a";;"NO";;"FŐDARAB";1800;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;1000;;;0;"Karosszéria elemek"
"W-0073";"ELLENSÚLY";"CATERPILLAR";"DP30K";" n/a";;"NO";;"FŐDARAB";3000;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;1000;;;0;"Karosszéria elemek"
"W-0074";"ELLENSÚLY";"KOMATSU";"FD25T-11";" n/a";;"NO";;"FŐDARAB";2500;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;800;;;0;"Karosszéria elemek"
"W-0075";"ELLENSÚLY";"MITSUBISHI";"FD18K";" n/a";;"NO";;"FŐDARAB";1800;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;1000;;;0;"Karosszéria elemek"
